Id,Name,SalaryFrom,ExpLevel,OfferPortalCompanyId,Category,JobLanguage,Location,IsRemote,Technology,ExternalId,SalaryTo,Company
123,ITDS,16800.0000,Senior,2,data,,Warszawa,false,null,1713967658825,25200.0000,ITDS
124,7N,25200.0000,Senior,2,businessAnalyst,en,Warszawa,false,null,1713449141742,28560.0000,7N
125,Ework Group,18480.0000,Senior,2,erp,,Kraków,false,null,1713449098285,29400.0000,Ework Group
126,ROCKWOOL,0.0000,Mid,2,support,,Poznan,false,null,1715263464535,0.0000,ROCKWOOL
127,Omni Calculator,7300.0000,Mid,2,marketing,,Remote,true,,1715436104480,9600.0000,Omni Calculator
150,Devire Sp. z o.o.,28560.0000,Mid,2,backend,,Warszawa,false,Java,1715090272086,35280.0000,Devire Sp. z o.o.
151,ITDS,14700.0000,Senior,2,fullstack,,Warszawa,false,.NET,1713966965804,23100.0000,ITDS
152,Allegro,14200.0000,Mid,2,backend,,Poznan,false,Golang,1713966922772,19690.0000,Allegro
153,Connectis_,30000.0000,Mid,2,architecture,en,Warszawa,false,Java,1715090049667,37000.0000,Connectis_
154,AVENGA,16800.0000,Senior,2,ux,en,Remote,true,null,1715089901806,19320.0000,AVENGA
171,SoftBlue SA,20160.0000,Mid,2,fullstack,,Remote,true,Java,1715089761479,21840.0000,SoftBlue SA
188,PrestaPros,4000.0000,Trainee,2,marketing,,Kraków,false,null,1715089482345,6000.0000,PrestaPros
189,Hyland,5400.0000,Junior,2,other,,Remote,true,null,1715089469033,8400.0000,Hyland
207,TeamQuest,7000.0000,Mid,2,sales,,Warszawa,false,null,1715262254904,10000.0000,TeamQuest
208,Mindbox S.A.,25200.0000,Senior,2,backend,,Kraków,false,Java,1715089454291,29400.0000,Mindbox S.A.
209,TeamQuest,15000.0000,Expert,2,testing,,Warszawa,false,null,1715262242799,20000.0000,TeamQuest
210,TeamQuest,15000.0000,Mid,2,erp,en,Other,false,null,1715262230442,20000.0000,TeamQuest
211,TeamQuest,15000.0000,Senior,2,backend,,Remote,true,PHP,1715262216696,20000.0000,TeamQuest
228,TeamQuest,10000.0000,Mid,2,electronics,"en, pl",Other,false,null,1715262201815,12000.0000,TeamQuest
229,AVENGA,18480.0000,Mid,2,data,,Remote,true,Python,1715262192742,21840.0000,AVENGA
246,White Sales,3986.0000,Junior,2,sales,en,Abroad,false,null,1713444190213,7973.0000,White Sales
247,VirtusLab,26000.0000,Expert,2,backend,,Remote,true,C++,1714480936358,31000.0000,VirtusLab
264,Tailors Group,7000.0000,Mid,2,marketing,"pl, en",Warszawa,false,null,1715085598705,9000.0000,Tailors Group
265,Falck Digital Technology Poland Sp. z o.o.,25200.0000,Mid,2,devops,,Remote,true,Oracle,1714480748908,28560.0000,Falck Digital Technology Poland Sp. z o.o.
282,Edge One Solutions Sp. z o.o.,0.0000,Senior,2,other,,Remote,true,null,1715085179320,0.0000,Edge One Solutions Sp. z o.o.
299,Hyland,12000.0000,Mid,2,testing,,Remote,true,JavaScript,1715344186476,19200.0000,Hyland
316,int2code GmbH,20160.0000,Mid,2,embedded,,Remote,true,C,1713961755208,33600.0000,int2code GmbH
334,Capco Poland,25200.0000,Mid,2,data,,Remote,true,Python,1713443171472,30240.0000,Capco Poland
351,VANTO IT SOLUTIONS,12500.0000,Mid,2,fullstack,,Remote,true,.NET,1713442997188,19500.0000,VANTO IT SOLUTIONS
368,Edge One Solutions Sp. z o.o.,0.0000,Mid,2,businessAnalyst,,Remote,true,null,1715084548793,0.0000,Edge One Solutions Sp. z o.o.
369,Zowie,20000.0000,Senior,2,backend,,Remote,true,null,1713442802513,30000.0000,Zowie
386,Hitachi Energy,0.0000,Mid,2,productManagement,en,Kraków,false,null,1715084347602,0.0000,Hitachi Energy
387,Aspire Systems Poland,15120.0000,Senior,2,frontend,,Remote,true,Angular,1715256986022,21000.0000,Aspire Systems Poland
404,Zowie,20000.0000,Senior,2,backend,,Warszawa,false,Node.js,1715084158344,30000.0000,Zowie
405,ITDS,14700.0000,Senior,2,fullstack,,Warszawa,false,Python,1713442530380,21840.0000,ITDS
406,Horizon Marketing,5000.0000,Mid,2,marketing,,Remote,true,null,1715343311987,8500.0000,Horizon Marketing
423,Aplikacje Krytyczne Sp. z o.o.,13000.0000,Mid,2,sysAdministrator,pl,Warszawa,false,null,1715343195108,15000.0000,Aplikacje Krytyczne Sp. z o.o.
424,Aspire Systems Poland,16000.0000,Senior,2,testing,,Remote,true,null,1713960725785,19000.0000,Aspire Systems Poland
441,BESTMIX Software,8000.0000,Mid,2,testing,,Wroclaw,false,.NET,1715515911356,12000.0000,BESTMIX Software
442,BESTMIX Software,10000.0000,Mid,2,backend,,Wroclaw,false,.NET,1715515810796,17000.0000,BESTMIX Software
443,ITDS,16800.0000,Mid,2,projectManager,,Warszawa,false,null,1713442169398,21000.0000,ITDS
444,Capco Poland,30240.0000,Senior,2,backend,,Remote,true,Kotlin,1713442067862,31920.0000,Capco Poland
461,Hitachi Energy,15000.0000,Senior,2,testing,,Kraków,false,Python,1713614702305,20000.0000,Hitachi Energy
462,Lymbridge logistics Sp. z o.o.,8000.0000,Mid,2,sales,,Gdansk,false,null,1715083237997,16000.0000,Lymbridge logistics Sp. z o.o.
463,AVENGA,23520.0000,Senior,2,security,,Łódź,false,null,1715255967254,30240.0000,AVENGA
466,HSBC Technology Poland,20000.0000,Mid,2,data,,Kraków,false,SQL,1715255890801,22000.0000,HSBC Technology Poland
467,NRF Poland Sp.z.o.o.,17000.0000,Expert,2,support,en,Other,false,null,1715255859460,27000.0000,NRF Poland Sp.z.o.o.
468,coboworx GmbH,9600.0000,Mid,2,robotics,"en, pl",Abroad,false,null,1715342132432,14000.0000,coboworx GmbH
469,Edge One Solutions Sp. z o.o.,0.0000,Mid,2,testing,,Remote,true,null,1715082915157,0.0000,Edge One Solutions Sp. z o.o.
486,coboworx GmbH,8600.0000,Mid,2,robotics,"en, pl",Abroad,false,null,1715342105869,13000.0000,coboworx GmbH
487,NetworkedAssets,12000.0000,Mid,2,backend,,Wroclaw,false,Kotlin,1715514901584,22000.0000,NetworkedAssets
488,COBOWORX GmbH,8600.0000,Mid,2,automation,"en, pl",Abroad,false,null,1715342056389,13000.0000,COBOWORX GmbH
493,Hays Poland,8400.0000,Mid,2,other,pl,Kraków,false,null,1715082852215,10080.0000,Hays Poland
494,coboworx GmbH,8000.0000,Mid,2,robotics,,Abroad,false,null,1715341930632,16000.0000,coboworx GmbH
495,Meant4 Software,16000.0000,Senior,2,frontend,,Remote,true,Vue.js,1715341836886,22000.0000,Meant4 Software
512,COBOWORX GmbH,18000.0000,Mid,2,robotics,,Abroad,false,null,1715341791543,28000.0000,COBOWORX GmbH
514,Ness Solution Sp. z o. o.,23520.0000,Senior,2,backend,,Remote,true,Java,1715082467946,30240.0000,Ness Solution Sp. z o. o.
531,HARMAN Connected Services,18000.0000,Mid,2,businessAnalyst,,Łódź,false,null,1714477524183,26000.0000,HARMAN Connected Services
532,Wimba,10000.0000,Mid,2,productManagement,,Kraków,false,null,1715341502816,20000.0000,Wimba
533,IDEMIA Poland R&D,0.0000,Mid,2,devops,,Łódź,false,Azure,1715254959990,0.0000,IDEMIA Poland R&D
535,FIS Technology Services (Poland) Sp. z o.o.,0.0000,Mid,2,businessAnalyst,,Warszawa,false,null,1715082103293,0.0000,FIS Technology Services (Poland) Sp. z o.o.
536,Sopra Steria Poland,22680.0000,Senior,2,fullstack,,Remote,true,JavaScript,1715341186581,25200.0000,Sopra Steria Poland
